"","course","reqs","subj_area_cd","crs_catlg_no","rqs_seq_num","left_paren_3","left_paren_2","left_paren_1","rqs_subj_area_cd","rqs_crs_catlg_no","right_paren_1","right_paren_2","right_paren_3","lgc_conn_cd"
"1","A&O SCI 1L","A&O SCI 1","A&O SCI","1L","10",NA,NA,NA,"A&O SCI","1",NA,NA,NA,NA
"2","A&O SCI 2L","A&O SCI 2","A&O SCI","2L","10",NA,NA,NA,"A&O SCI","2",NA,NA,NA,NA
"3","A&O SCI 3L","A&O SCI 3","A&O SCI","3L","10",NA,NA,NA,"A&O SCI","3",NA,NA,NA,NA
"4","A&O SCI 51","MATH 3B","A&O SCI","51","10",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"5","A&O SCI 51","MATH 32A","A&O SCI","51","35",NA,NA,NA,"MATH","32A",NA,NA,NA,"OR"
"6","A&O SCI 51","PHYSICS 1B","A&O SCI","51","60",NA,NA,NA,"PHYSICS","1B",NA,NA,NA,"OR"
"7","A&O SCI 51","PHYSICS 5B","A&O SCI","51","85",NA,NA,NA,"PHYSICS","5B",NA,NA,NA,"OR"
"8","A&O SCI 51","PHYSICS 5C","A&O SCI","51","110",NA,NA,NA,"PHYSICS","5C",NA,NA,NA,"OR"
"9","A&O SCI 51","PHYSICS 6B","A&O SCI","51","135",NA,NA,NA,"PHYSICS","6B",NA,NA,NA,NA
"10","A&O SCI 90","EPS SCI 71","A&O SCI","90","10",NA,NA,"(","EPS SCI","71",NA,NA,NA,"OR"
"11","A&O SCI 90","C&EE M20","A&O SCI","90","22",NA,NA,NA,"C&EE","20  M",NA,NA,NA,"OR"
"12","A&O SCI 90","COMPTNG 10A","A&O SCI","90","35",NA,NA,NA,"COMPTNG","10A",")",NA,NA,"AND"
"13","A&O SCI 90","MATH 3A","A&O SCI","90","110",NA,"(","(","MATH","3A",NA,NA,NA,"AND"
"14","A&O SCI 90","MATH 3B","A&O SCI","90","135",NA,NA,NA,"MATH","3B",")",NA,NA,"OR"
"15","A&O SCI 90","MATH 31A","A&O SCI","90","160",NA,NA,"(","MATH","31A",NA,NA,NA,"AND"
"16","A&O SCI 90","MATH 31B","A&O SCI","90","185",NA,NA,NA,"MATH","31B",")",")",NA,"AND"
"17","A&O SCI 90","PHYSICS 1A","A&O SCI","90","210",NA,NA,"(","PHYSICS","1A",NA,NA,NA,"OR"
"18","A&O SCI 90","PHYSICS 5A","A&O SCI","90","235",NA,NA,NA,"PHYSICS","5A",NA,NA,NA,"OR"
"19","A&O SCI 90","PHYSICS 6A","A&O SCI","90","260",NA,NA,NA,"PHYSICS","6A",")",NA,NA,NA
"20","A&O SCI 101","MATH 3B","A&O SCI","101","10",NA,NA,"(","MATH","3B",NA,NA,NA,"OR"
"21","A&O SCI 101","MATH 31B","A&O SCI","101","20",NA,NA,NA,"MATH","31B",NA,NA,NA,"OR"
"22","A&O SCI 101","LIFESCI 30B","A&O SCI","101","25",NA,NA,NA,"LIFESCI","30B",")",NA,NA,"AND"
"23","A&O SCI 101","PHYSICS 1B","A&O SCI","101","30",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"OR"
"24","A&O SCI 101","PHYSICS 5B","A&O SCI","101","35",NA,NA,NA,"PHYSICS","5B",NA,NA,NA,"OR"
"25","A&O SCI 101","PHYSICS 5C","A&O SCI","101","40",NA,NA,NA,"PHYSICS","5C",NA,NA,NA,"OR"
"26","A&O SCI 101","PHYSICS 6B","A&O SCI","101","65",NA,NA,NA,"PHYSICS","6B",")",NA,NA,NA
"27","A&O SCI 102","MATH 3C","A&O SCI","102","10",NA,NA,"(","MATH","3C",NA,NA,NA,"OR"
"28","A&O SCI 102","MATH 32A","A&O SCI","102","20",NA,NA,NA,"MATH","32A",")",NA,NA,"AND"
"29","A&O SCI 102","PHYSICS 1B","A&O SCI","102","30",NA,NA,"(","PHYSICS","1B",NA,NA,NA,"OR"
"30","A&O SCI 102","PHYSICS 6C","A&O SCI","102","40",NA,NA,NA,"PHYSICS","6C",")",NA,NA,NA
"31","A&O SCI 103","MATH 3B","A&O SCI","103","10",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"32","A&O SCI 103","MATH 31B","A&O SCI","103","20",NA,NA,NA,"MATH","31B",NA,NA,NA,NA
"33","A&O SCI 104","CHEM 14B","A&O SCI","104","10",NA,NA,NA,"CHEM","14B",NA,NA,NA,"OR"
"34","A&O SCI 104","CHEM 20B","A&O SCI","104","20",NA,NA,NA,"CHEM","20B",NA,NA,NA,NA
"35","A&O SCI C110","A&O SCI 101","A&O SCI","110  C","10",NA,NA,NA,"A&O SCI","101",NA,NA,NA,NA
"36","A&O SCI 112","LIFESCI 30B","A&O SCI","112","25",NA,NA,NA,"LIFESCI","30B",NA,NA,NA,"OR"
"37","A&O SCI 112","LIFESCI 40","A&O SCI","112","31",NA,NA,NA,"LIFESCI","40",NA,NA,NA,"OR"
"38","A&O SCI 112","MATH 3B","A&O SCI","112","37",NA,NA,NA,"MATH","3B",NA,NA,NA,"OR"
"39","A&O SCI 112","MATH 31B","A&O SCI","112","50",NA,NA,NA,"MATH","31B",NA,NA,NA,"OR"
"40","A&O SCI 112","STATS 10","A&O SCI","112","75",NA,NA,NA,"STATS","10",NA,NA,NA,"OR"
"41","A&O SCI 112","STATS 12","A&O SCI","112","100",NA,NA,NA,"STATS","12",NA,NA,NA,"OR"
